Family_Name	Name	Resources_Annotated	Sources_Annotated	Resources_Computed	Sources_Computed
Ouyang	Jueya	15	15	3	3
McElhanon	Kenneth A.	15	15	7	7
Evans-Pritchard	E. E.	15	15	0	0
Lamberti	Marcello	15	15	8	8
Ivens	W. G.	15	17	0	0
Konow	Sten	15	15	6	6
Lafone Quevedo	Samuel A.	15	15	0	0
Schmidt	Wilhelm	15	15	0	0
Schuchardt	Hugo	15	17	2	2
Struck	Bernhard	15	15	7	7
Marlett	Stephen A.	14	14	37	37
Caron	Bernard	14	14	17	17
Swadesh	Morris	14	14	11	11
Mosonyi	Esteban Emilio	14	14	3	4
Mühlhäusler	Peter	14	14	13	13
Nichols	Johanna	14	14	12	13
Boretzky	Norbert	14	14	8	9
Saxena	Anju	14	18	2	2
Bril	Isabelle	14	14	5	5
Brye	Edward	14	14	12	14
Buddruss	Georg	14	14	2	2
Rottland	Franz	14	14	9	9
Rigsby	Bruce	14	14	2	2
Lastra	Yolanda	14	14	3	3
Mithun	Marianne	14	14	16	16
Diffloth	Gérard	14	14	5	5
Murdock	G. P.	14	14	0	0
Terrill	Angela	14	14	3	3
Fortescue	Michael	14	14	7	7
Schuh	Russell G.	14	14	4	4
Omar	Asmah Haji	14	14	1	1
Smith	Kenneth D.	14	14	6	7
Gusinde	Martin	14	14	5	5
Haberland	Eike	14	14	0	0
König	Christa	14	14	6	7
Jacquot	André	14	14	11	11
Rensch	Calvin R.	14	14	7	9
Ačaṙyan	Hrač‘ya Hakobi	13	13	0	0
Adelaar	Willem F. H.	13	13	1	1
Leger	Rudolf	13	13	10	10
Adriani	N.	13	14	0	0
Grimes	Joseph E.	13	13	20	21
Sasse	Hans-Jürgen	13	13	4	4
Anderson	Gregory D. S.	13	13	8	9
Anonby	Stan	13	13	0	0
Hombert	Jean-Marie	13	13	7	8
Paul	Ludwig	13	13	1	1
Baldus	Herbert	13	13	2	2
Opler	Morris E.	13	13	0	0
Chinnery	E. W. P.	13	13	0	0
Fleming	Harold C.	13	13	4	4
Shafer	Robert	13	13	5	5
Rischel	Jørgen	13	13	5	6
Black	Paul	13	13	2	2
Sun	Jackson T.-S.	13	13	9	10
Wavrin	Robert de	13	13	0	0
Motingea Mangulu	André	13	13	16	16
Munro	Pamela	13	13	15	15
Wiesemann	Ursula	13	13	13	13
Levinsohn	Stephen H.	13	13	42	46
Li	Yongsui	13	13	0	0
Danziger	Eve	13	13	1	1
Schuh	Russell Galen	13	13	6	6
Toba	Sueyoshi	13	13	7	7
van Driem	George	13	13	6	6
Frajzyngier	Zygmunt	13	13	13	13
Voorhoeve	Jan	13	13	8	9
Mead	David	13	13	3	3
Fähnrich	Heinz	13	13	5	5
Firth	R.	13	13	0	0
Nagaraja	K. S.	13	13	4	4
Nikolaeva	Irina	13	13	5	5
Taylor	Douglas	13	13	12	12
Holmer	Nils M.	13	13	7	7
Tupper	Ian	13	13	1	1
Hyslop	Gwendolyn	13	13	2	2
Khan	Geoffrey	13	16	1	1
Kossmann	Maarten G.	13	13	3	3
Nevermann	Hans	13	13	0	0
Li	Paul Jen-kuei	13	13	2	2
Lipski	John M.	13	13	6	6
McArthur	Harry S.	13	13	5	5
Nicolaï	Robert	13	13	2	2
Rilly	Claude	13	13	3	3
Samarin	William J.	13	13	2	2
Wilbert	Johannes	13	13	6	6
Kawi	Djantera	12	12	0	0
Hayward	Richard J.	12	12	15	15
Austen	Leo	12	17	0	0
Daniels	Don	12	12	0	0
Bickel	Balthasar	12	13	11	12
Burenhult	Niclas	12	12	1	1
Belmar	Francisco	12	12	1	2
Bergsland	Knut	12	12	24	24
Ladefoged	Peter	12	12	14	14
Quint	Nicolas	12	12	3	3
Valenzuela	Pilar M.	12	14	1	1
Williamson	Kay	12	12	2	2
Næss	Åshild	12	12	0	0
Bohannan	P.	12	12	0	0
Botne	Robert	12	12	4	5
Hajek	John	12	12	4	4
Moyse-Faurie	Claire	12	12	3	3
Pawley	Andrew	12	12	9	9
Engelenhoven	Aone van	12	12	1	1
Lithgow	David	12	12	5	5
Yamada	Yukihiro	12	12	2	2
Crevels	Mily	12	12	0	0
Ridley	William	12	12	6	6
Lastra de Suárez	Yolanda	12	12	0	0
Delafosse	Maurice	12	12	6	6
Dutton	Tom	12	12	0	0
Thurgood	Graham	12	12	6	6
Lazard	Gilbert	12	13	2	2
Regmi	Dan Raj	12	12	0	0
Grace	George W.	12	12	0	0
Laughren	Mary	12	12	8	8
Grottanelli	Vinigi L.	12	12	1	1
Hoijer	Harry	12	12	9	9
Hollenbach	Barbara E.	12	12	15	15
Mosel	Ulrike	12	12	7	8
Huntingford	G. W. B.	12	12	0	0
Stevenson	Roland C.	12	12	3	3
Shintani	Tadahiko	12	12	3	4
Orr	Carolyn	12	12	1	1
Kingsada	Thongphet	12	12	1	1
Li	Yunbing	12	12	0	0
MacGregor	William	12	12	2	2
Mathews	Robert Hamilton	12	13	8	8
Nagano	Yasuhiko	12	12	1	1
Seki	Lucy	12	12	7	7
Rodrigues	Aryon D.	12	12	2	2
Viegas Barros	J. Pedro	12	12	12	15
Abbink	Jon	11	11	7	7
Adelaar	K. Alexander	11	11	3	3
Anonby	Erik	11	11	1	1
Greenhill	Simon J.	11	11	0	0
Appleyard	David L.	11	11	17	17
Philippson	Gérard	11	11	6	6
Arnold	Werner	11	11	0	0
Cloarec-Heiss	France	11	11	3	3
Höltker	Georg	11	11	0	0
Boone	Douglas W.	11	11	6	6
Naden	Tony	11	11	0	0
Thomas	Jacqueline M. C.	11	11	2	2
Wojtylak	Katarzyna I.	11	11	0	0
Barreteau	Daniel	11	11	8	8
Batista	Ana Cristina Borges	11	11	0	0
Stark	Louisa R.	11	11	3	4
Dunn	Michael	11	11	0	0
Koul	Omkar N.	11	12	7	7
Landaburu	Jon	11	11	5	5
Stirtz	Timothy M.	11	11	4	4
Sands	Bonny	11	11	4	4
Bouda	Karl	11	11	1	1
Nordlinger	Rachel	11	11	16	17
Bright	William	11	11	6	6
Bulakh	Maria	11	11	0	0
Cabral	Ana Suelly Arruda Câmara	11	11	1	1
Capo	Hounkpati B. Christophe	11	11	3	3
Weitlaner	Roberto J.	11	11	1	1
Healey	Alan	11	11	14	15
Rueck	Michael J.	11	11	3	3
Clark	Ross	11	11	2	2
Cohen	Marcel	11	11	7	7
Jakobi	Angelika	11	11	4	5
Hair	P. E. H.	11	11	0	0
Durasid	Durdje	11	11	0	0
Payne	Doris L.	11	11	30	33
Lee	Richard B.	11	11	5	5
Yigezu	Moges	11	11	8	8
Vaux	Bert	11	12	8	8
Dorais	Louis-Jacques	11	11	1	1
Dryer	Matthew S.	11	11	10	10
Dutton	Tom E.	11	11	2	2
Elderkin	Edward Derek	11	11	2	2
Foley	William A.	11	11	1	1
Pasch	Helma	11	11	4	5
Sagart	Laurent	11	11	2	2
Hale	Kenneth L.	11	12	17	17
Shimoji	Michinori	11	11	0	0
Melchert	Craig H.	11	11	1	1
Hofmann	Inge	11	11	0	0
Marchese	Lynell	11	11	16	16
Ingham	Bruce	11	11	4	4
Schmidt	Ruth Laila	11	11	0	0
Khanina	Olesya	11	11	0	0
Kropp Dakubu	Mary Esther	11	11	20	20
Lesage	Jakob	11	11	0	0
Li	Fang-Kuei	11	11	3	3
Mead	M.	11	12	0	0
Malinowski	B.	11	11	0	0
Meinhof	Carl	11	12	5	6
Whiteley	Wilfred Howell	11	11	17	18
Nishida	Fuminobu	11	11	0	0
Segerer	Guillaume	11	11	3	3
Schebesta	Paul Joachim	11	11	3	3
Sommer	Bruce A.	11	11	2	2
Swanton	J. R.	11	11	0	0
Tauxier	Louis	11	11	0	0
Vorbichler	Anton	11	11	2	2
Vycichl	Werner	11	11	11	12
Wilbert	J.	11	11	0	0
Wirz	Paul	11	11	0	0
Mu'azu	Mohammed Aminu	10	10	0	0
Muniru	John	10	18	0	0
Palayer	Pierre	10	10	7	9
Muysken	Pieter	10	10	7	7
Kim	Amy	10	10	1	1
Olson	Kenneth S.	10	10	5	6
Arka	I Wayan	10	10	6	7
Hayashi	Norihiko	10	10	0	0
Gamble	David Percy	10	10	15	15
Barr	Donald F.	10	10	3	3
Basset	René	10	10	11	11
Batalova	Raisa M.	10	10	0	0
Bouquiaux	Luc	10	10	12	12
Yakpo	Kofi	10	10	2	2
Bertinetto	Pier Marco	10	10	4	4
Kluge	Angela	10	16	6	6
Pacchiarotti	Sara	10	10	0	0
Boutin	Michael E.	10	10	4	4
Nougayrol	Pierre	10	10	6	8
Gravina	Richard	10	10	7	7
Moñino	Yves	10	10	8	8
Brenzinger	Matthias	10	10	3	3
Kari	James	10	10	46	46
Cyffer	Norbert	10	10	5	5
Hyman	Larry M.	10	10	18	20
Rodrigues	Aryon Dall'Igna	10	10	3	3
Yang	Cathryn	10	10	1	1
Derbyshire	Desmond C.	10	10	13	13
Quesada Pacheco	Miguel Ángel	10	10	2	2
Clairis	Christos	10	10	7	8
Key	Harold	10	10	4	4
Luo	Meizhen	10	10	1	1
Doke	Clement Martyn	10	10	33	33
Eaton	Helen	10	10	2	2
Ebert	Karen H.	10	10	8	8
Heeschen	Volker	10	10	2	2
Elfenbein	Josef	10	10	3	3
Elkins	Richard E.	10	11	6	6
Mouchet	Jean	10	12	0	0
Merlan	Francesca	10	10	4	4
Meeuwis	Michael	10	10	3	3
Jonker	J. C. G.	10	10	1	1
Ghatage	A.M.	10	10	0	0
Goddard	Pliny Earle	10	10	1	1
Krauss	Michael E.	10	10	18	18
Grant	Anthony P.	10	10	2	2
Suárez	Jorge A.	10	10	3	3
Das Gupta	K.	10	10	0	0
Hogbin	H. I.	10	10	0	0
Svantesson	Jan-Olof	10	10	3	5
Michailovsky	Boyd	10	10	17	17
Jenny	Mathias	10	10	0	0
Wu	Zili	10	10	3	3
Kagaya	Ryohei	10	11	12	12
Yost	James A.	10	10	1	1
Kosaka	Ryuichi	10	10	0	0
Ziervogel	Dirk	10	10	17	20
Marshall	Lorna	10	10	0	0
Winkelmann	Kerstin	10	10	5	6
Mukarovsky	Hans G.	10	10	2	2
Zima	Petr	10	10	8	8
Constenla Umaña	Adolfo	10	10	11	11
Pinart	Alphonse L.	10	10	1	1
Reesink	Ger P.	10	10	6	6
Ribeiro	Eduardo Rivail	10	10	3	3
Conti Rossini	Carlo	10	10	1	1
Schiefner	Anton	10	10	1	1
Simeone-Senelle	Marie-Claude	10	10	5	5
Tryon	Darrell	10	10	0	0
Torero	Alfredo	10	10	3	3
Vajda	Edward J.	10	10	3	3
Watters	David E.	10	10	12	12
Malherbe	Michel	9	9	1	1
Wedekind	Charlotte	9	11	15	15
Wedekind	Klaus	9	10	47	49
Hon	Luther	9	15	0	0
Arifin	Siti Salamah	9	9	0	0
Adelaar	Alexander	9	9	1	1
Prentice	David J.	9	9	0	0
Stappers	Leo	9	9	11	11
Agency	Central Intelligence	9	9	0	0
Kim	Seung	9	9	0	0
Potter	Margaret	9	9	6	6
de Almeida	António	9	9	0	0
Conrad	Robert J.	9	9	6	7
Simpson	Jane	9	9	9	9
Muthalib	Abdul	9	9	0	0
Osada	Toshiki	9	9	0	0
Merrifield	William R.	9	9	12	13
Meakins	Felicity	9	9	6	6
Pickett	Velma B.	9	9	15	17
Maddieson	Ian	9	9	12	13
Gawne	Lauren	9	9	2	2
Kaufman	Terrence	9	9	8	8
Hale	Austin	9	9	18	19
Edwards	Owen	9	9	0	0
Li	Rong	9	9	0	0
Zorc	R. David Paul	9	9	5	5
Barnes	Janet	9	9	7	9
Beavon	Keith H.	9	9	8	9
Meira	Sérgio	9	9	6	7
Bean	Lowell John	9	9	0	0
Beeler	Madison S.	9	9	0	0
Haiman	John	9	9	3	3
Pereira	Christophe	9	9	1	1
Bhat	D. N. S.	9	9	2	2
Peterson	David A.	9	9	1	1
Williamson	Kay [Ruth] [Margaret]	9	9	13	14
Blumentritt	F.	9	9	0	0
Goddard	Pliny E.	9	9	0	0
Boggiani	Guido	9	11	0	0
Cech	Petra	9	9	1	1
Borin	Lars	9	10	1	1
Nassenstein	Nico	9	9	0	0
Lionnet	Florian	9	9	3	3
Bradshaw	Joel	9	9	2	2
Ozanne-Rivierre	Françoise	9	9	5	5
Brixhe	Claude	9	9	1	1
Broderick	George	9	10	3	3
Bryan	Margaret A.	9	9	0	0
SIL	Summer Institute of Linguistics	9	9	11	11
Guthrie	Malcolm	9	9	26	27
Centre	Wangka Maya Pilbara Aboriginal Language	9	9	0	0
Zeitoun	Elizabeth	9	9	6	6
Charpentier	Jean-Michel	9	9	0	0
Chowning	Ann	9	9	0	0
Kossmann	Maarten	9	9	3	3
Cowan	H. K. J.	9	9	0	0
Hale	Ken	9	9	14	14
Enfield	Nick J.	9	9	0	0
McPherson	Laura	9	9	2	3
Reesink	Ger	9	9	3	3
Seifart	Frank	9	9	14	14
Rastorgueva	Vera S.	9	9	1	1
Edel'man	Džoy I.	9	9	0	0
Elbert	Samuel H.	9	9	5	5
Ernst	Adolf	9	9	1	1
