Family_Name	Name	Resources_Annotated	Sources_Annotated	Resources_Computed	Sources_Computed
Shimkin	D. B.	2	2	0	0
Shinagawa	Daisuke	2	2	0	0
Zhao	Yang	2	2	1	1
Windschuttel	Glenn	2	2	0	0
Shipley	William	2	2	2	2
Shoemaker	Henry W.	2	2	0	0
Short	David	2	2	1	1
Shortt	John	2	2	0	0
Shternberg	L. I.	2	2	0	0
Shukla	Shaligram	2	2	0	0
von Sicard	Harald	2	2	0	0
Siebs	Theodor	2	2	0	0
Smith	Geoff P.	2	2	2	2
Siêng	Y-Chang Niê	2	2	0	0
Siewert	Max	2	2	0	0
Sijapati	Ram B.	2	2	0	0
Silberbauer	G. B.	2	2	0	0
Sillery	Anthony	2	2	0	0
da Silva	Afonso Dias	2	2	0	0
da Silva	Cristhian Teófilo	2	2	0	0
Guevara Silva	Tomás	2	2	1	1
dos Santos Silva	Edineida	2	2	0	0
Silva	Denise	2	2	0	0
de la Cerda Silva	Roberto	2	2	0	0
da Silva	Talita Rodrigues	2	2	0	0
da Silva	Manuel Maria Alves	2	2	0	0
Silverwood-Cope	Peter	2	2	0	0
Silvester	Hans W.	2	2	0	0
Simango	Silvester Ron	2	2	1	1
Bengala Simão	Teresa Susana	2	2	0	0
Simmons	Donald C.	2	2	0	0
Simmons	D. C.	2	2	0	0
Simnara	Komi	2	2	0	0
Simon	Pierre	2	2	0	0
Simpson	Cyril Gordon	2	2	0	0
Simpson	G. E.	2	2	0	0
Sims-Williams	Patrick	2	2	0	0
Simson	Alfred	2	2	2	2
Singer	Hans-Rudolf	2	2	0	0
Singh	Ch. Yashwanta	2	2	0	0
Singh	Hidam Brojen	2	2	0	0
Singh	Sher	2	2	0	0
Singh	Bahadur	2	2	0	0
Singh	Ram Adhar	2	2	0	0
Singha	Kh. Diren	2	2	0	0
Singleton	Hubert Daniel	2	2	0	0
Siqin	Chaoketu	2	2	0	0
Širaliev	M. Š.	2	2	0	0
Sīrat	Abdul Sattār	2	2	0	0
de Sivers	Fanny	2	2	2	2
Sjoberg	Andrée F.	2	2	1	1
Sjögren	Andreas Johan	2	2	0	0
Walker	Alastair	2	2	0	0
Sjöstedt	Gösta	2	2	0	0
Skjærvo	Prods Oktor	2	2	0	0
Skottsberg	Carl	2	2	0	0
Skrefsrud	L. O.	2	2	0	0
Slater	Keith W.	2	2	1	1
Slobodin	R.	2	2	0	0
Smedal	Olaf H.	2	2	0	0
Smeets	Ineke	2	2	1	1
Smeltzer	Brad	2	2	2	2
Smith-Hefner	Nancy J.	2	2	0	0
Smith	Connie	2	2	1	1
Smith	Paul	2	2	1	1
Tregear	Edward	2	2	1	1
Smith	S. Percy	2	2	0	0
Smith	Jean	2	2	4	4
Weston	Pamela	2	2	0	0
Smith	A. H.	2	2	1	1
Smith	James G. E.	2	2	0	0
Smith	Edwin W.	2	2	3	4
Smith	Richard Chase	2	2	2	2
Smith	Lawrence R.	2	2	0	0
Smith	Ian R.	2	2	0	0
Smith	Geoffrey P.	2	2	0	0
Smith	Buckingham	2	2	1	1
Smith	Geoff	2	2	0	0
Smith	Brianne J.	2	2	0	0
Smith	Anne-Marie	2	2	0	0
Smith	Neil Voyne	2	2	3	3
Smith	Ian Russell	2	2	0	0
Smoes	Christopher L.	2	2	0	0
Smoljak	A. V.	2	2	0	0
Smoll	Laetitia	2	2	0	0
Smyth	David	2	2	0	0
Snell	Betty E.	2	2	1	1
Snell	Betty	2	2	1	1
Snethlage	Emil Heinrich	2	2	2	2
Snethlage	Emilia	2	2	0	0
Snethlage	Emil	2	2	0	0
Snyder	Warren Arthur	2	2	0	0
Soane	E. B.	2	2	0	0
Pompeu Sobrinho	Thomaz	2	2	0	0
Söderberg	Bertil	2	2	0	0
Widman	Ragnar	2	2	0	0
Soengas	Beatriz	2	2	0	0
Soh	Jean-Philippe	2	2	0	0
Tawerilmang	Anthony F.	2	2	0	0
Solá	Donald F.	2	2	1	1
Solien	N. L.	2	2	0	0
Somerville	B. T.	2	2	0	0
Sommer	Gabi [Gabriele]	2	2	2	2
Song	Limei	2	2	0	0
Soppitt	C. A.	2	2	0	0
Sorensen, Jr., Arthur P.	?	2	2	0	0
Sorenson	Richard E.	2	2	0	0
Soukka	Maria	2	2	1	1
Soumaho Ditoubilianou	Prisca Armelle	2	2	0	0
Stalder	Ruth	2	2	1	1
Sousa	Hilário de	2	2	0	0
Southwell	Gwyneth	2	2	0	0
Southwell	C. Hudson	2	2	1	1
Southwold	M.	2	2	0	0
de Souza	Isaac Costa	2	2	0	0
de Souza	Ilda	2	2	0	0
de Souza	Shirley Dias Cardoso	2	2	0	0
de Souza	Sueli Maria	2	2	0	0
Sowa	Wojciech	2	2	0	0
von Sowa	R.	2	2	0	0
Spa	Jacob Jan	2	2	0	0
Spa	Jaap J.	2	2	1	1
Spagnolo	Lorenzo M.	2	2	0	0
Spanghero Ferreira	Vitória Regina	2	2	0	0
Sparkman	P. S.	2	2	0	0
Spaulding	Jay L.	2	2	0	0
Speck	Brenda J.	2	2	0	0
Špehonja	Nino	2	2	0	0
Speirs	Randall H.	2	2	0	0
Sperlich	Wolfgang B.	2	2	4	4
Spiegel	Fr.	2	2	0	0
Spier	Robert F. G.	2	2	0	0
Spier	Leslie	2	2	1	1
Spiro	M. E.	2	2	0	0
Spittel	R. L.	2	2	0	0
Spooner	Brian	2	2	0	0
Spratt	David	2	2	1	1
Spratt	Nancy	2	2	2	2
Sprigg	Richard Keith	2	2	2	2
Sprigge	R. G. S.	2	2	0	0
Spriggs	M.	2	2	0	0
Sridhar	S. N.	2	2	3	3
Srivastava	S.K.	2	2	0	0
Stack	George	2	2	1	1
Stadel	Christian	2	2	0	0
Stahlke	Herbert Frederick Walter	2	2	3	3
Stanford	Ronald	2	2	0	0
Stanhope	John M.	2	2	0	0
Stanley	Henry M.	2	2	0	0
Steltenpool	J.	2	2	0	0
Staphorst	Luan	2	2	0	0
Luna Villanueva	Verónica	2	2	0	0
Smith Stark	Thomas C.	2	2	0	0
Stark	Janie	2	2	1	1
Starostin	George S.	2	2	2	2
No Author Stated	{	2	2	0	0
Stauder	Jack	2	2	0	0
Stearman	Allyn MacLean	2	2	0	0
Stearns, Jr., MacDonald	?	2	2	0	0
Steensland	Lars	2	2	0	0
Steinbauer	Dieter H.	2	2	0	0
von den Steinen	Karl	2	2	0	0
Stell	Nélida Noemi	2	2	0	0
Stennes	Leslie H.	2	2	0	0
Stevens	Alan M.	2	2	1	1
Stevenson	Paul S.	2	2	0	0
Stevenson	M. C.	2	2	0	0
Strathern	Andrew J.	2	2	0	0
Strathern	Andrew	2	2	1	1
Stewart	Alexander	2	2	0	0
Stewart	R.	2	2	0	0
Stich	Dominique	2	2	0	0
Stifter	David	2	2	1	1
Stober	Scot F.	2	2	0	0
Stoel	Ruben	2	2	1	1
Stoett	F. A.	2	2	0	0
Stofberg	Yvonne F.	2	2	0	0
Stolper	Matthew W.	2	2	0	0
Stone	Gerald	2	2	1	1
Stone	Roger	2	2	0	0
Storck	Kurt	2	2	0	0
Stout	Mickey	2	2	2	2
Stradelli	Ermanno	2	2	0	0
Strand	Richard F.	2	2	0	0
Straube	H.	2	2	0	0
Strauch	H.	2	2	0	0
Strauß	Hermann	2	2	0	0
Street	John C.	2	2	1	1
Street	John Charles	2	2	0	0
Strelnikov	I. D.	2	2	0	0
Stresemann	Erwin	2	3	1	1
Strömer	Chrysostomus	2	2	0	0
Strong	Pauline Turner	2	2	0	0
Strong	W. D.	2	2	0	0
Strouthes	D.	2	2	0	0
Stuhlmann	Franz	2	2	0	0
Cuevas Suárez	Susana G.	2	2	0	0
Subbiah	Govindarajulu	2	2	0	0
Subramoniam	V.I.	2	2	0	0
Suggs	Robert C.	2	2	0	0
Sugiyono	{	2	2	0	0
Suharno	Ignatius	2	2	2	2
Sujarni	{	2	2	0	0
Sulaiman	Budiman	2	2	0	0
Suleymanov	Murad	2	2	0	0
Sullivan	L. R.	2	2	0	0
Sullivant	John Ryan	2	2	0	0
Sumbuk	Kenneth Memson	2	2	0	0
Sumbuk	Kenneth M.	2	2	0	0
Sun	Tianshin Jackson	2	2	0	0
Sundrup	Tsering	2	2	0	0
Sunee	Kamnuansin	2	2	0	0
Sunik	Orest P.	2	2	2	2
Suparlan	Parsudi	2	2	0	0
Suprun	A. E.	2	2	0	0
Surhasko	Ju. Ju.	2	2	0	0
Yvinec	Cédric	2	2	0	0
Susa	Dz'ba Dheli	2	2	0	0
Suseeva	Danara	2	2	0	0
Suslak	Daniel	2	2	0	0
Susnik	Branka J.	2	2	0	0
Suter	Rudolf	2	2	0	0
Sutlive	V. H.	2	2	0	0
Suwilai	Premsrirat	2	2	3	3
Zhou	Yang	2	2	0	0
Zou	Yuxia	2	2	0	0
Suzuki	P.	2	2	0	0
Suzuki	Márcia	2	2	0	0
Svazlyan	Veržine Gaṙniki	2	2	0	0
Svelmoe	Thelma	2	2	0	0
Swartenbroeckx	Pierre	2	2	1	1
Swartz	Stephen M.	2	2	3	3
Sweet	Henry	2	2	1	1
Sweetman	Gary	2	2	0	0
Swilla	Imani N.	2	2	2	2
Swisshelm	Germán	2	2	1	1
Syea	Anand	2	2	3	3
Symons	A. H.	2	2	0	0
Sywulka	Edward	2	2	1	1
Taber	Kathleen B.	2	2	0	0
Taber	Mark H.	2	2	0	0
Taber	Mark	2	2	0	0
Taeldeman	Johan	2	2	6	6
Taid	Tabu	2	2	2	2
Taïfi	Miloud	2	2	0	0
Tajolosa	Teresita D.	2	2	0	0
Takahashi	Yona	2	2	0	0
Takassi	Issa	2	2	2	2
Takata	Yuko	2	2	0	0
Takau	Lana Grelyn	2	2	0	0
Takazov	Fedar	2	2	0	0
Tamine	Michel	2	2	0	0
Tammisto	Tuomas	2	2	0	0
Tamura	Suzuko	2	2	1	1
Tan	C.	2	2	0	0
Xu	Baohua	2	2	0	0
Tanghe	Basile	2	2	0	0
Tao	Huan	2	2	0	0
Tapaltsian	S. H.	2	2	0	0
Tarlanov	Z. K.	2	2	0	0
Tassa	Okombe-Lukumbu Gaspard	2	2	0	0
Taupin	J.	2	2	0	0
Tavares	José Lourenço	2	2	2	2
Taylor	Douglas M.	2	2	0	0
Taylor	Gérald	2	2	0	0
Taylor	Doreen M.	2	2	0	0
Teeuw	Andries	2	2	0	0
Teit	James	2	2	0	0
Telang	Bhalchandra Rao	2	2	0	0
Telles	Stella	2	2	0	0
Teng	Stacy Fang-Ching	2	2	0	0
Teo	Amos Benjamin	2	2	0	0
Terashima	H.	2	2	0	0
Terentjew	M.	2	2	0	0
Teres	Ersin	2	2	0	0
Tereškin	Nikolaj I.	2	2	0	0
Terraza	Jimena	2	2	0	0
Wichasin	Ranoo	2	2	0	0
Teschauer	Carlos	2	2	0	0
Tessmann	Günther	2	2	1	1
Thakur	G. C. Sharma	2	2	0	0
Thalhammer	Ingeborg	2	2	0	0
Thambiah	Shanthi	2	2	0	0
Tharp	James A.	2	2	2	4
Thayer	Linda Jean	2	2	3	3
Thelwall	Robin E.W.	2	2	2	2
Theuws	Théodore Jacques A.	2	2	2	2
Thiessen	H. Arnold	2	2	0	0
Thiry	Edmond	2	2	1	1
Thomas	Elaine	2	2	3	3
Thomas	N. W.	2	2	0	0
Thomas	Bertram	2	2	0	0
Thomas	Dorothy M.	2	2	1	1
Thomas	N.	2	2	0	0
Thomas	Michael F.	2	2	0	0
Thomason	Sarah G.	2	2	1	1
Thomaz	Luis Filipe Reis	2	2	0	0
Thompson	David E.	2	2	0	0
Thompson	E. David	2	2	0	0
Thompson	L.	2	2	0	0
Thomson	Donald F.	2	2	1	1
Thomson	N. P.	2	2	0	0
Thomson	D. F.	2	2	0	0
Thonner	Franz	2	2	0	0
Thorbecke	Franz H.	2	2	0	0
Thorbecke	F.	2	2	0	0
Thway	Hla Myat	2	2	0	0
Tibiriçá	Luiz Caldas	2	2	0	0
Tiendrébéogo	Beatrice	2	2	0	0
Tiersma	Pieter Meijes	2	2	0	0
Tikkanen	Karin	2	2	0	0
Till	Walter Curt	2	2	2	2
Timmers	Jan	2	2	0	0
Tindale	Norman B.	2	2	4	4
Tiote	Brahima	2	2	0	0
Tisserant	Charles	2	2	1	1
Titherington	G. W.	2	2	0	0
Titrud	Kermit	2	2	1	1
Turvey	Basil Henry Capes	2	2	0	0
Toffin	Gérard	2	2	0	0
Toledo	Kristian Roncero	2	2	0	0
Toledo	Eladio Mateo	2	2	0	0
Tombleson	Anette Helgestad	2	2	0	0
Tong	Choi Lan	2	2	0	0
Tonnoir	René	2	2	0	0
T‘oṙlak‘yan	Barunak G.	2	2	0	0
Toronzoni	Ngama-Nzombio Tra Ndele	2	2	1	1
Torrione	Margarita	2	2	0	0
Toso	Fiorenzo	2	2	0	0
Toth	Alfred	2	2	0	0
Toukam	Christelle Niguieu	2	2	0	0
Toulmin	Matthew	2	2	0	0
Tousch	André	2	2	0	0
Toweett	Taaitta	2	2	0	0
Townsend	Patricia K.	2	2	0	0
Tozzer	A. M.	2	2	0	0
Tracy	Martha	2	2	1	1
Tracy	Frances V.	2	2	3	3
Trager	F. N.	2	2	0	0
Tramutoli	Rosanna	2	2	0	0
Traore	Karim	2	2	0	0
Traoré	Kotalama	2	2	0	0
Tremaine	Sheila	2	2	1	1
Chenevix Trench	Charles Godfrey	2	2	0	0
Trépos	Pierre	2	2	0	0
Tresbarats	Chantal	2	2	2	2
Vick	Renée	2	2	0	0
Tressmann	Ismael	2	2	0	0
Trezenem	Edouard	2	2	0	0
Pabón Triana	Marta	2	2	1	1
Tribur	Zoe	2	2	0	0
Trifkovič	Mirjana	2	2	0	0
Troeboes	{	2	2	0	0
Tryon	D. T.	2	2	5	5
von Tschudi	J. J.	2	2	0	0
Tshibangu	wa Mashinda Kayembe	2	2	0	0
Tsintsius	V. I.	2	2	0	0
Tsitsipis	Lukas D.	2	2	0	0
Tsoue	Pamela Carmelle	2	2	0	0
Ndiola Tsuata	Laurence	2	2	0	0
Tsuhako	Toshiko	2	2	1	1
Yamada	Yoshiko	2	2	0	0
Tuchscherer	Konrad	2	2	0	0
Tugolukov	V. A.	2	3	1	1
Tunga	Sudhansu S.	2	2	0	0
Tunggal	Ramlee	2	2	0	0
Turnbull	C. M.	2	2	0	0
Turner	Glen D.	2	2	1	1
Turner	Victor W.	2	3	5	5
Turner	Ralph Lilley	2	2	1	1
Turner	Paul Raymond	2	2	0	0
Turner	Darryl	2	2	1	1
Turner	G.	2	2	0	0
Turney-High	H. H.	2	2	0	0
Tuyuc Sucuc	Cecilio	2	2	0	0
Twilhaar	Jan Nijen	2	2	2	2
Ubels	Edward H.	2	2	0	0
Ul-Hassan	Syed Siraj	2	2	0	0
Ullendorff	Edward	2	2	5	5
Ullrich	Helen E.	2	2	0	0
Ultan	Russell	2	2	0	0
Costenla Umaña	Adolfo	2	2	0	0
Ungnad	Arthur	2	2	0	0
Unseth	Pete	2	2	0	0
Uotila	Toivo Emil	2	2	1	1
Urabe	Yuko	2	2	0	0
Uranw	Ram Kisun	2	2	0	0
Uriarte	Luis M.	2	2	0	0
Uricoechea	Ezekiel	2	2	0	0
Urquhart	A. N.	2	2	0	0
Urua	Eno-Abasi E.	2	2	1	1
Coronas Urzúa	Gabriela	2	2	0	0
Usman	Sanna	2	2	0	0
Uwano	Zendō	2	2	0	0
Uzar	Henning	2	2	0	0
Vaillant	Jean-Alexandre	2	2	0	0
Vaillant	Adrien Alp	2	2	0	0
de Val Floriana	Mansueto Bacatta	2	2	0	0
Valdau	Georg	2	2	0	0
Valdez Jara	Yolanda	2	2	0	0
Valentine	C. A.	2	2	0	0
Valentine	J. Randolph	2	2	0	0
Valenzuela Bismarck	Pilar	2	2	1	1
Valet	Joseph	2	2	0	0
Valiquette	Hilaire Paul	2	2	1	1
Valiska	Juraj	2	2	0	0
Vallancey	Charles	2	2	0	0
Valle Arévalo	Daniel	2	2	0	0
Van Linden	An	2	2	1	1
Van Acker	Sifra	2	2	0	0
Van Valin	Robert D.	2	2	3	3
Vāna'a	Fare	2	2	0	0
VanBik	Kenneth	2	2	0	0
Vanden Plas	Joseph	2	2	0	0
Vanderelst	John	2	2	0	0
Vandermeiren	J.	2	2	0	0
Vanko	Juraj	2	2	0	0
Vanneste	Marcellin	2	2	1	1
Varenkamp	Bryan	2	2	0	0
Vasconcelos	Ione P.	2	2	0	0
Vasilevich	G. M.	2	2	0	0
Vasilievič	G. M.	2	2	0	0
Vasseur	Gaston	2	2	1	1
Västerlund	Rune	2	2	0	0
Vaxtin	N.	2	2	0	0
Vayda	Andrew P.	2	2	0	0
Vedder	Heinrich	2	2	0	0
Veen	Hendrik van den	2	2	0	0
del Barrio Vega	María L.	2	2	0	0
van Vegten	Manon	2	2	0	0
Veiga	Manuel	2	2	1	1
van de Velde	Mark L.O.	2	2	0	0
Velie	Daniel	2	2	2	3
Veliz	José Domingo	2	2	0	0
Vellard	Jehan A.	2	2	0	0
Vengoechea	Consuelo	2	2	1	1
Venkatesan	D.	2	2	0	0
Venturino	Bartolomeo	2	2	0	0
Verbov	G.	2	2	0	0
Verdizade	Allahverdi	2	2	0	0
Vergari	Roberta	2	2	1	1
Verhulpen	Edmond	2	2	0	0
Verma	Sheela	2	2	0	0
Vermeersch	Henri [Gabriel]	2	2	0	0
Verpoorten	Joseph	2	2	0	0
Verrac	Monique	2	2	0	0
Verratti	Vittore	2	2	0	0
Verri	Sisto	2	2	1	1
Versteegh	Kees	2	2	1	1
Verstraelen	Eugene	2	2	0	0
Vesper	Ethel R.	2	2	0	0
Viaene	L.	2	2	0	0
Victor	Ahum	2	2	0	0
Victoria Sebastián	Antonio	2	2	0	0
Vidal	Lux	2	2	0	0
Videman	F. I.	2	2	0	0
Vieillard	G.	2	2	0	0
Viljoen	Melanie Helen	2	2	0	0
Villafañe	Lucrecia	2	2	1	1
Villalón	María Eugenia	2	2	2	2
Villard	Stéphanie	2	2	0	0
Villas Boas	Cláudio	2	2	1	1
Villas Boas	Orlando	2	2	0	0
Ville	Jean-Luc	2	2	0	0
Viñas Urquiza	María Teresa	2	2	0	0
Vincent	Alexander	2	2	0	0
Vine	Brent	2	2	2	2
Vinnikov	Isaac N.	2	2	0	0
Vinogradov	Igor	2	2	0	0
Vinogradov	Viktor Vladimirovič	2	2	0	0
Violette	L.	2	2	0	0
Virchow	Rudolf	2	2	0	0
Visseq	Alexandre	2	2	2	2
Voegelin	E. W.	2	2	0	0
Vogel	Alan	2	2	1	1
Voica	Radu	2	2	0	0
Volker	Craig	2	2	0	0
Voorhis	Paul H.	2	2	3	3
Voorhis	Paul	2	2	1	1
Vosseler	Annika	2	2	0	0
Vottéro	Guy	2	2	0	0
de Vriendt	Sera	2	2	0	0
de Vries	Klaas	2	2	0	0
de Vries	Lourens J.	2	2	1	1
Vũ	Quóc Khánh	2	2	0	0
Vuillermet	Marine	2	2	2	2
Wachtel	Nathan	2	2	0	0
Wada	Shohei	2	2	3	3
Wade	Martha	2	2	1	1
Wade	Jonathan	2	2	2	2
Wafer	James	2	2	3	3
Wagha	Muhammad Ahsan	2	2	0	0
Wagner-Nagy	Beáta	2	2	1	1
Wagner	G.	2	2	0	0
Wagner	Max L.	2	2	0	0
Wagner	Heinrich	2	2	0	0
Wälchli	Bernhard	2	2	4	4
Waldie	Ryan James	2	2	0	0
Walker	Roland W.	2	2	1	1
Walker	Neil Alexander	2	2	1	1
Wallace	Alfred R.	2	2	0	0
Wallace	B.	2	2	0	0
Wallace	W. J.	2	2	0	0
Wallace	A. F. C.	2	2	0	0
Wallace	William J.	2	3	0	0
Wallis	W. D.	2	2	0	0
Walsh	D. S.	2	2	1	1
Walters	Josiah Keith	2	2	0	0
Waltisberg	Michael	2	2	0	0
Waltz	Carolyn	2	2	0	0
Walworth	Mary E.	2	2	0	0
Goungaye Wanfiyo	Nganatouwa	2	2	0	0
Zhu	Xiaonong	2	2	0	0
Wang	Jingru	2	2	0	0
van Warmelo	N. J.	2	2	0	0
Warnier	Jean-Pierre	2	2	0	0
Warotamasikkhadit	Udom	2	2	2	2
Wassmann	Jürg	2	2	0	0
Wastl	J.	2	2	0	0
Watanabe	H.	2	2	0	0
Watanabe	Honoré	2	2	1	1
Waterman	Thomas T.	2	2	0	0
Watkins	Mark Hanna	2	2	1	1
Watkins	T. Arwyn	2	2	1	1
Watson	James B.	2	2	1	1
Watson	W.	2	2	0	0
Watters	John R.	2	2	6	6
Watters	James K.	2	2	8	8
Wearne	Helen	2	2	0	0
Weathers	Mark L.	2	2	1	1
Webb	Ross	2	2	0	0
Weber	Tobias	2	2	0	0
Weber	David John	2	2	5	5
Wee	Lionel	2	2	2	2
Weeks	J. H.	2	2	0	0
Wegener	Claudia U.	2	2	0	0
Wegner	Richard N.	2	2	0	0
Wei	Xuechun	2	2	0	0
Weidert	Alfons K.	2	2	1	1
Weiers	Michael	2	2	1	1
Weijnen	Antonius A.	2	2	0	0
Weiner	A.B.	2	2	0	0
Weir	E. M. Helen	2	2	1	1
Weiss	Gerald	2	2	0	0
Weiss	Henri	2	2	0	0
Weiss	Jonathan	2	2	0	0
Kongne Welaze	Jacquis	2	2	0	0
Welch	James W.	2	2	0	0
Welmers	William Everrett	2	2	8	8
Weltfish	Gene	2	2	0	0
Wendel	Asa	2	2	0	0
Weninger	Stefan	2	2	0	0
Werbeck	Wolfgang	2	2	0	0
Werndly	George Henrik	2	2	0	0
Werner	H.	2	2	1	1
Werner	Eugen	2	2	0	0
Westermann	Scott	2	2	0	0
Westermann	Annette	2	2	0	0
Westphal-Hellbusch	Sigrid	2	2	0	0
Westrum	Peter	2	2	0	0
Wetshemongo	Kamomba Michel	2	2	0	0
Wetter	Andreas	2	2	1	2
Weule	Karl	2	2	0	0
Wheeler	Max	2	2	1	1
Whisler	Ronald	2	2	0	0
Whisler	David	2	2	2	2
Whitacre	Steve	2	2	0	0
White	C. M. N.	2	2	0	0
White	Walter Grainge	2	2	0	0
White	G. M.	2	2	0	0
Whitehead	G.	2	2	0	0
Whitehead	Carl R.	2	2	7	7
Whitley	E. H.	2	2	0	0
Whitney	Henry	2	2	3	3
Whitten, Jr., Norman E.	?	2	2	0	0
Whorf	Benjamin L.	2	2	0	0
Wielenga	D. K.	2	2	0	0
Wiersma	Grace	2	2	0	0
Wiesinger	Peter	2	2	3	3
Wiik	Barbro	2	2	0	0
Wilber	D. N.	2	2	0	0
Wilbrink	Ans	2	2	0	0
Wilbur	Joshua Karl	2	2	0	0
van der Wilden	Jelly	2	2	0	0
Wilhelmsen	Vera	2	2	0	0
Wilkinson	Richard J.	2	2	0	0
Wilkinson	R. J.	2	2	0	0
Wilkinson	Melanie P.	2	2	0	0
Willett	Elizabeth R.	2	2	2	2
Williams	Sara	2	2	0	0
Williams	Kenneth L.	2	2	0	0
Williams	Nicholas J. A.	2	2	0	0
Williams	Nicholas J.	2	2	0	0
Williams	Franklin E.	2	2	0	0
Williams	Gerald E.	2	2	0	0
Williamson	R. W.	2	2	0	0
Willie	MaryAnn	2	2	1	1
Willis	Christina M.	2	2	0	0
Willms	Alfred	2	2	2	2
Wilson	Patricia R.	2	2	4	4
Wilson	John	2	2	1	1
Wilson	Jonathan P.	2	2	0	0
Wilson	Catherina	2	2	0	0
Wilson	John D.	2	2	0	0
Wilson	Jennifer	2	2	0	0
Wilson	William H.	2	2	2	2
Winer	Lise	2	2	1	1
Winfield	W. W.	2	2	0	0
Winter	J. C.	2	2	0	0
Winter	Werner	2	2	5	5
de Wit-Hasselaar	Alida	2	2	0	0
de Wit-Hasselaar	Alie	2	2	0	0
de Witte	P.	2	2	0	0
Wittmann	Henri	2	2	1	1
Wivell	Richard	2	2	0	0
Wmffre	Iwan	2	2	2	2
Woelders	M. O.	2	2	0	0
Woensdregt	Jac	2	2	0	0
Wolde-Selassie	Abbute	2	2	0	0
Wolf	Frans	2	2	0	0
Wolf	Paul de	2	2	0	0
Wolfart	Christoph H.	2	2	0	0
Wölfel	Dominik Josef	2	2	0	0
Wolfenden	Elmer	2	2	7	8
Wolfenden	Stuart	2	2	1	1
Wolff	John Ulrich	2	2	0	0
Wollaston	A. F. R.	2	2	0	0
Wood	Raymond K.	2	2	0	0
Woodard	Roger D.	2	2	0	0
Woodward	R. A.	2	2	0	0
Woolford	Ellen B.	2	2	0	0
Woollams	Geoff	2	2	0	0
Worcester	Dean C.	2	2	0	0
Worms	A.	2	2	0	0
Worsley	Peter M.	2	2	2	2
Kumpel Wossey	Angélique	2	2	0	0
Zingg	Philipp	2	2	0	0
Wright	Jennifer	2	2	0	0
Wright	Joseph	2	2	3	3
Wright	J. L.	2	2	0	0
Wtterwulghe	Georges François	2	2	0	0
Xu	Yina	2	2	0	0
Wu	Hongwei	2	2	0	0
Wu	Lingyun	2	2	0	0
Wu	Yaping	2	2	0	0
Wu	Joy	2	2	0	0
Wu	Manxiang	2	2	0	0
Wuchu	Akumbu Pius	2	2	0	0
Würtz	Ferdinand	2	2	1	2
Wyatt	William	2	2	0	0
Wyatt	David	2	2	0	0
Xiān	Sōngkuí	2	2	0	0
Xiang	Rizheng	2	2	0	0
Xíng	Xiàngdōng	2	2	0	0
Xomič	L. V.	2	2	0	0
Xonti	L.	2	2	0	0
Xromov	Al'bert L.	2	2	0	0
Zee	Eric	2	2	0	0
Xu	Liejiong	2	2	1	1
Xu	Yue	2	2	0	0
Jijón y Caamaño	Jacinto	2	2	0	0
Estadistica	Sociedad Mexicana de Geografia y	2	2	0	0
Yabu	Shiro	2	2	0	0
Yalman	N.	2	2	0	0
Yamada	Yoichi	2	2	0	0
Yang	Wenping	2	2	0	0
Yanson	Rudolf A.	2	2	0	0
Yar-Shater	Ehsan	2	2	0	0
Yatsuka	Haruna	2	2	0	0
Yé	Vinou Muntu	2	2	1	1
Ye	Mei-li	2	2	0	0
Yeatts	W. M.	2	2	0	0
Yembeline	Kodangba	2	2	1	1
Yin	Shage	2	2	0	0
Yokwe	Eluzai Moga	2	2	4	4
Vallejos Yopán	Rosa	2	2	0	0
Yoshio	Nishi	2	2	5	5
Younansardaroud	Helen	2	2	0	0
Yu	Defen	2	2	2	3
yuan	{Zhongguo kexue	2	2	0	0
Yue-Hashimoto	Anne O.	2	2	0	0
Yusop	Mohd. Sharifudin	2	2	0	0
yanshi	Beijing daxue Zhongguo yuyan wenxuexi yuyan xuejiao	2	2	0	0
Zacot	François-Robert	2	2	0	0
Zahn	Heinrich	2	2	0	0
Zajkov	Petr Mefodievič	2	2	0	0
Žamcarano	C. Ž.	2	2	0	0
Zamora Vicente	Alonso	2	2	0	0
Zanetti	Umberto	2	2	0	0
Zavala	Roberto	2	2	4	4
Ochoa Zazueta	Jesús A.	2	2	0	0
Zealand	Statistics New	2	2	1	1
Zeisberger	David	2	2	1	1
Zelealem	[Mollaligne] Leyew	2	2	9	9
Zelený	Mnislav	2	2	0	0
Zenk	Henry	2	2	1	1
Zepeda	Ofelia	2	2	3	3
Zetterstéen	Karl Vilhelm	2	2	1	1
Zhang	Chengcai	2	2	0	0
Zhang	Shuya	2	2	0	0
Zhang	Shengkai	2	2	0	0
Zhang	Sihong	2	2	0	0
Zhāng	Qiàn	2	2	0	0
Zhang	Weiquan	2	2	0	0
Zhao	Haoliang	2	2	0	0
Zhèngzhāng	Shàngfāng	2	2	0	0
Zibelius-Chen	Karola	2	2	0	0
Ziegelmeyer	Georg	2	2	1	1
Zimmer	Franz	2	2	0	0
Zimmermann	J.	2	2	0	0
Zimmermann	Gerit	2	2	0	0
Žirkov	L. I.	2	2	1	1
Žirkov	Lev I.	2	2	0	0
Zogbo	Gnoléba Raymond	2	2	2	2
Zograf	Irina T.	2	2	0	0
Zöller	Hugo	2	2	1	1
Zollinger	H.	2	2	0	0
Zólyomi	Gábor	2	2	0	0
Zorn	B.M.	2	2	0	0
