Glottocode	Sources	Latitude	Longitude	Family	Macroarea
kala1397	13	-5.25216	144.585	Nuclear Trans New Guinea [nucl1709]	pacific
ogea1238	8	-5.37766	145.71	Nuclear Trans New Guinea [nucl1709]	pacific
nucl1630	18	-9.46246	147.899	Koiarian [koia1260]	pacific
yess1239	11	-4.15721	142.574	Sepik [sepi1257]	pacific
yong1280	17	-6.42956	141.213	Nuclear Trans New Guinea [nucl1709]	pacific
oksa1245	14	-5.20797	142.177	Nuclear Trans New Guinea [nucl1709]	pacific
ramo1244	13	-4.17306	152.451	Austronesian [aust1307]	pacific
faiw1243	18	-5.4967	141.656	Nuclear Trans New Guinea [nucl1709]	pacific
guma1254	5	-9.28497	150.762	Austronesian [aust1307]	pacific
nekk1240	5	-6.37697	146.841	Nuclear Trans New Guinea [nucl1709]	pacific
wask1241	10	-4.57978	145.979	Nuclear Trans New Guinea [nucl1709]	pacific
uman1240	10	-9.89671	149.658	Dagan [daga1274]	pacific
sian1257	10	-6.13188	145.247	Nuclear Trans New Guinea [nucl1709]	pacific
umbu1258	9	-5.9513	143.97	Nuclear Trans New Guinea [nucl1709]	pacific
daga1275	14	-9.9747	149.263	Dagan [daga1274]	pacific
wari1266	14	-3.139	140.931	Border [bord1247]	pacific
buna1276	11	-10.0761	151.066	Austronesian [aust1307]	pacific
chin1272	3	55.0	-125.0	Chinookan [chin1490]	northamerica
kama1367	16	-3.8503	143.842	Nuclear Torricelli [nucl1708]	pacific
rapo1238	2	-5.78724	154.834	North Bougainville [nort2933]	pacific
dano1240	4	-5.92188	145.254	Nuclear Trans New Guinea [nucl1709]	pacific
tinp1237	3	-5.58358	154.972	Austronesian [aust1307]	pacific
tami1290	8	-6.70017	147.732	Austronesian [aust1307]	pacific
kuni1263	13	-8.66368	146.874	Austronesian [aust1307]	pacific
goli1247	6	-6.2249	144.8505	Nuclear Trans New Guinea [nucl1709]	pacific
kuni1267	25	-8.09371	146.908	Kunimaipan [kuni1270]	pacific
nama1264	118	-25.0747	17.9767	Khoe-Kwadi [khoe1240]	africa
afri1274	39	-22.0	30.0	Indo-European [indo1319]	africa
kuan1247	24	-17.7176	16.58	Atlantic-Congo [atla1278]	africa
kwan1273	20	-17.9026	19.256	Atlantic-Congo [atla1278]	africa
kani1286	0	-6.38841	145.556	Nuclear Trans New Guinea [nucl1709]	pacific
nara1264	6	-5.5591	144.754	Nuclear Trans New Guinea [nucl1709]	pacific
want1252	21	-6.15216	146.513	Nuclear Trans New Guinea [nucl1709]	pacific
alek1238	9	-6.03901	145.387	Nuclear Trans New Guinea [nucl1709]	pacific
boik1241	11	-3.68297	143.474	Ndu [nduu1242]	pacific
waim1251	15	-8.67145	146.544	Austronesian [aust1307]	pacific
kamu1260	6	-7.28798	142.639	Kamula-Elevala [kamu1264]	pacific
gily1242	43	52.59	140.681	Nivkh [nivk1234]	eurasia
ambu1247	24	-3.7801	143.059	Ndu [nduu1242]	pacific
muyu1244	26	-9.195	152.731	Austronesian [aust1307]	pacific
melp1238	12	-5.62644	144.34	Nuclear Trans New Guinea [nucl1709]	pacific
meny1245	9	-7.17425	146.071	Angan [anga1289]	pacific
boro1279	7	-6.56688	147.511	Nuclear Trans New Guinea [nucl1709]	pacific
furr1244	37	12.0455	23.6401	Furan [fura1235]	africa
bine1240	11	-9.08879	142.893	Eastern Trans-Fly [east2503]	pacific
idun1242	7	-9.34361	150.24	Austronesian [aust1307]	pacific
taki1248	18	-4.69057	145.975	Austronesian [aust1307]	pacific
naas1242	20	-6.46022	155.632	South Bougainville [sout2948]	pacific
naka1262	47	-5.59931	150.888	Austronesian [aust1307]	pacific
weri1253	9	-7.71834	146.914	Kunimaipan [kuni1270]	pacific
buki1249	23	-3.47169	143.111	Nuclear Torricelli [nucl1708]	pacific
usar1243	7	-6.38898	145.633	Nuclear Trans New Guinea [nucl1709]	pacific
awiy1238	8	-6.54079	145.76	Nuclear Trans New Guinea [nucl1709]	pacific
tung1290	14	-2.52188	150.198	Austronesian [aust1307]	pacific
mian1256	17	-4.70881	141.523	Nuclear Trans New Guinea [nucl1709]	pacific
dadi1250	14	-6.65765	144.511	Teberan [tebe1251]	pacific
anga1290	9	-7.15012	146.352	Angan [anga1289]	pacific
aman1265	9	-3.51516	141.178	Border [bord1247]	pacific
tifa1245	20	-5.03899	141.293	Nuclear Trans New Guinea [nucl1709]	pacific
nucl1620	12	-6.11629	144.665	Nuclear Trans New Guinea [nucl1709]	pacific
kara1486	11	-2.81957	151.111	Austronesian [aust1307]	pacific
bian1252	8	-7.33882	146.765	Kunimaipan [kuni1270]	pacific
iatm1242	31	-4.30064	143.316	Ndu [nduu1242]	pacific
