Glottocode	Sources	Latitude	Longitude	Family	Macroarea
kaja1254	7	12.2492	20.879	Afro-Asiatic [afro1255]	Africa
masm1239	4	13.076	19.2769	Afro-Asiatic [afro1255]	Africa
bolg1251	6	10.9025	18.8076	Atlantic-Congo [atla1278]	Africa
hano1246	16	-15.5432	168.167	Austronesian [aust1307]	Papunesia
chec1245	24	43.5	45.5	Nakh-Daghestanian [nakh1245]	Eurasia
ingu1240	15	43.11	45.03	Nakh-Daghestanian [nakh1245]	Eurasia
sibe1250	19	57.4921	72.5642	Turkic [turk1311]	Eurasia
sout2940	20	-6.01385	140.815	Nuclear Trans New Guinea [nucl1709]	Papunesia
oldp1253	10	43.5	0.6	Indo-European [indo1319]	Eurasia
suwa1241	9	0.4907	123.362	Austronesian [aust1307]	Papunesia
bola1252	8	0.39044	123.888	Austronesian [aust1307]	Papunesia
fata1247	16	-8.49464	127.08	Timor-Alor-Pantar [timo1261]	Papunesia
sekp1241	8	7.16751	0.5886	Atlantic-Congo [atla1278]	Africa
abro1238	15	7.72094	-2.50289	Atlantic-Congo [atla1278]	Africa
mefe1242	5	10.677	13.8201	Afro-Asiatic [afro1255]	Africa
rinc1236	13	17.4451	-96.3144	Otomanguean [otom1299]	North America
peta1245	4	-5.34068	154.593	Austronesian [aust1307]	Papunesia
saam1283	19	0.3652	34.0335	Atlantic-Congo [atla1278]	Africa
madu1248	3	17.1794	121.236	Austronesian [aust1307]	Papunesia
haho1237	2	-5.59031	154.801	Austronesian [aust1307]	Papunesia
nuku1259	4	-3.40038	154.731	Austronesian [aust1307]	Papunesia
sime1242	4	-6.23022	155.423	South Bougainville [sout2948]	Papunesia
daan1235	4	-6.43363	155.748	South Bougainville [sout2948]	Papunesia
oung1239	5	-6.36069	155.708	South Bougainville [sout2948]	Papunesia
koro1313	4	-6.39399	155.742	South Bougainville [sout2948]	Papunesia
pele1245	7	-5.58045	151.05		Papunesia
mouk1239	5	-5.71155	149.158	Austronesian [aust1307]	Papunesia
lamo1244	7	-5.87071	149.321	Austronesian [aust1307]	Papunesia
nucl1379	9	-9.35868	34.2321	Atlantic-Congo [atla1278]	Africa
cacg1235	2	11.6489	109.138	Austronesian [aust1307]	Eurasia
egyp1246	32	28.381735	30.834959	Afro-Asiatic [afro1255]	Africa
