Glottocode	Sources	Latitude	Longitude	Family	Macroarea
rums1243	0	36.60424	-121.8048	Miwok-Costanoan [miwo1274]	northamerica
eude1234	1	28.5	-110.0	Uto-Aztecan [utoa1244]	northamerica
east2544	3	45.0112	-68.6617	Algic [algi1248]	northamerica
mohe1244	10	41.8581	-72.1701	Algic [algi1248]	northamerica
wocc1242	0	35.379075	-77.985987	Siouan [siou1252]	northamerica
tuba1279	0	30.0	-111.0	Uto-Aztecan [utoa1244]	northamerica
bagi1246	6	11.52392	14.769495	Central Sudanic [cent2225]	africa
awut1241	3	5.42441	-0.59545	Atlantic-Congo [atla1278]	africa
mato1250	2	53.4349	102.856	Uralic [ural1272]	eurasia
crim1257	2	45.0	34.08	Turkic [turk1311]	eurasia
gbir1241	0	10.3923	8.43157	Atlantic-Congo [atla1278]	africa
agwa1247	1	5.81055	8.03166	Atlantic-Congo [atla1278]	africa
yesk1239	0	9.05454	7.97913	Atlantic-Congo [atla1278]	africa
scot1243	13	55.886945	-3.710133	Indo-European [indo1319]	eurasia
dura1244	0	28.173	84.435	Sino-Tibetan [sino1245]	eurasia
kabo1247	0	-8.17316	124.539	Timor-Alor-Pantar [timo1261]	pacific
kelo1247	4	-8.40688	124.429	Timor-Alor-Pantar [timo1261]	pacific
hama1240	0	-8.26749	124.522	Timor-Alor-Pantar [timo1261]	pacific
cari1274	0	37.203	28.182	Indo-European [indo1319]	eurasia
inor1238	0	7.94883	37.7968	Afro-Asiatic [afro1255]	africa
nucl1633	3	-2.5803	140.179	Nimboranic [nimb1257]	pacific
chee1238	28	10.0031	8.67024	Atlantic-Congo [atla1278]	africa
avat1244	9	6.8688	0.41314	Atlantic-Congo [atla1278]	africa
akeb1238	6	7.78365	0.77668	Atlantic-Congo [atla1278]	africa
hier1240	3	40.019722	34.615278	Indo-European [indo1319]	eurasia
vlaa1240	5	51.0754	3.11345	Indo-European [indo1319]	eurasia
mund1325	2	9.83195	14.4751	Atlantic-Congo [atla1278]	africa
sian1254	0	-0.38398	114.693	Austronesian [aust1307]	pacific
maan1238	3	-2.1239	115.092	Austronesian [aust1307]	pacific
dusu1269	0	-0.85277	115.392	Austronesian [aust1307]	pacific
salu1253	2	-2.748	121.3	Austronesian [aust1307]	pacific
uppe1455	10	13.2335066667	-15.33254	Indo-European [indo1319]	africa
sese1246	22	-4.62314	55.4503	Indo-European [indo1319]	africa
kele1257	0	-0.78854	10.3836	Atlantic-Congo [atla1278]	africa
liku1242	0	-1.27931	16.4702	Atlantic-Congo [atla1278]	africa
baou1238	37	5.42509	-4.76565	Atlantic-Congo [atla1278]	africa
pamo1252	0	-1.62663	121.268	Austronesian [aust1307]	pacific
moma1242	0	-1.4313	120.009	Austronesian [aust1307]	pacific
lind1248	0	-1.35748	120.063	Austronesian [aust1307]	pacific
bone1254	1	-7.37657	121.792	Austronesian [aust1307]	pacific
mamu1255	1	-2.50762	119.082	Austronesian [aust1307]	pacific
gane1237	1	-0.42618	127.976	Austronesian [aust1307]	pacific
maba1278	0	0.59011	128.418	Austronesian [aust1307]	pacific
sula1248	0	-2.30765	125.9656	Austronesian [aust1307]	pacific
buli1255	1	1.0008	128.443	Austronesian [aust1307]	pacific
pata1260	0	0.34096	128.634	Austronesian [aust1307]	pacific
mori1269	1	-2.2555	121.035	Austronesian [aust1307]	pacific
mori1268	0	-2.56016	121.37	Austronesian [aust1307]	pacific
nucl1622	2	-8.15651	140.009	Anim [anim1240]	pacific
tons1240	1	1.51393	125.052	Austronesian [aust1307]	pacific
tomb1243	1	1.39715	124.754	Austronesian [aust1307]	pacific
bobo1255	1	-0.36759	121.922	Austronesian [aust1307]	pacific
bolo1268	0	2.75927	117.293	Austronesian [aust1307]	pacific
