ID	Creators	Creator_Variants	Title	Title_Variants	Year	Sources
Fehrmann-2013-exploiting_space_in_german	Fehrmann, Gisela		Exploiting space in German Sign Language. Linguistic and topographic reference in signed discourse		2013	fehrmann_exploiting-topographic2013
Fetzer-2012-discourse_relations_in_english	Fetzer, Anita and Speyer, Augustin		Discourse relations in English and German discourse: Local and not-so-local constraints		2012	fetzer-speyer_local-so2012
Finkbeiner-2015-the_grammar_and_pragmatics	Finkbeiner, Rita		The grammar and pragmatics of N hin, N her (‘N thither, N hither’) in German		2015	finkbeiner_thither-hither2015
Follen-1828-practical_grammar_of_the	Follen, Charles		Practical Grammar of the German Language		1828	follen_practical-german1828
Fox-1984-german_intonation_an_outline	Fox, Anthony		German intonation: An outline		1984	fox_intonation-outline1984
Fox-2005-the_structure_of_german	Fox, Anthony		The structure of German		2005	fox_structure-german2005
Freiwald-2023-theme_in_english_and	Freiwald, Jonas		Theme in English and German. A corpus-based contrastive analysis of clause openings in original and translated texts		2023	freiwald_openings-original2023
Frey-2004-a_medial_topic_position	Frey, Werner		A medial topic position for German		2004	frey_medial-topic2004
Frey-2004-notes_on_the_syntax	Frey, Werner		Notes on the syntax and the pragmatics of German Left Dislocation		2004	frey_left-dislocation2004
Frey-2004-the_grammarpragmatics_interface_and	Frey, Werner		The grammar-pragmatics interface and the German prefield		2004	frey_interface-prefield2004
Fritz-1992-remarks_on_the_structure	Fritz, Gerd		Remarks on the Structure of the Verbal Complex in Early 17th Century German		1992	fritz_remarks-complex1992
Fuhrhop-2011-the_interaction_between_morphology	Fuhrhop, Nanna		The interaction between morphology and syntax exhibited by the German writing system		2011	fuhrhop_exhibited-writing2011
Færch-1984-ja_und__og	Færch, Claus and Kasper, Gabriele		Ja und? - og hva' så ? - a contrastive discourse analysis of gambits in German and Danish		1984	faerch-kasper_hva-gambits1984
Féry-1991-german_schwa_in_prosodic	Féry, Caroline		German schwa in prosodic morphology		1991	fery_schwa-prosodic1991
Féry-2003-final_devoicing_and_the	Féry, Caroline		Final Devoicing and the stratification of the lexicon in German		2003	fery_devoicing-stratification2003
Féry-2005-the_focus_and_prosodic	Féry, Caroline and Hartmann, Katharina		The focus and prosodic structure of German Right Node Raising and Gapping		2005	fery-hartmann_node-gapping2005
Gagarina-2012-discourse_cohesion_in_the	Gagarina, Natalia		Discourse cohesion in the elicited narratives of early Russian-German sequential bilinguals		2012	gagarina_elicited-sequential2012
Gerdes-2001-word_order_in_german	Gerdes, Kim and Kahane, Sylvain		Word Order in German: A Formal Dependency Grammar Using a Topological Hierarchy		2001	gerdes-kahane_topological-hierarchy2001
Geyken-2015-a_living_text_archive	Geyken, Alexander and Gloning, Thomas		A Living Text Archive of 15th–19th Century German: Corpus Strategies, Technology, Organization		2015	geyken-gloning_living-archive2015
Giegerich-1985-metrical_phonology_and_phonological	Giegerich, Heinz J		Metrical Phonology and Phonological Structure. German and English		1985	giegerich_metrical-phonological1985
Giegerich-1989-syllable_structure_and_lexical	Giegerich, Heinz J.		Syllable structure and lexical derivation in German		1989	giegerich_syllable-derivation1989
Giinthner-2000-from_concessive_connector_to	Giinthner, Susanne		From concessive connector to discourse marker: The use of obwohl in everyday German interaction		2000	giinthner_connector-obwohl2000
Gilbert-1970-6_the_phonology_morphology	Gilbert, Glenn G.		6. The Phonology, Morphology, and Lexicon of a German Text from Fredericksburg, Texas		1970	gilbert_fredericksburg-texas1970
Giusti-1990-the_syntax_of_floating	Giusti, Giuliana and Abraham, Wim Kosmeijer Werner and Reuland, Eric	Giusti, Giuliana // Giusti, Giuliana and Abraham, Wim Kosmeijer Werner and Reuland, Eric	The syntax of floating ‘alles’ in German	The syntax of floating alles in German // The syntax of floating ‘alles’ in German	1990	abraham-giusti-reuland_floating-alles1990 giusti_floating-alles1990
Giusti-1991-zuinfinitivals_and_sentential_structure	Giusti, Giuliana		Zu-infinitivals and sentential structure in German		1991	giusti_infinitivals-sentential1991
Goebel-2000-from_text_to_example	Goebel, Ulrich		From Text to Example. The Early New High German Project		2000	goebel_example-high2000
Golato-2002-grammar_and_interaction_reported	Golato, Andrea		Grammar and Interaction: Reported Discourse and Subjunctive in German		2002	golato_reported-subjunctive2002
Golston-1996-zero_morphology_and_constraint	Golston, Chris and Wiese, Richard		Zero morphology and constraint interaction. Subtraction and epenthesis in German Dialects		1996	golston-wiese_subtraction-epenthesis1996
Golston-1998-the_structure_of_the	Golston, Chris and Wiese, Richard		The structure of the German root		1998	golston-wiese_german-root1998
Goss-2000-the_evolution_of_a	Goss, Emily L. and Salmons, Joseph C.		The evolution of a bilingual discourse marking system: Modal particles and English markers in German-American dialects		2000	goss-salmons_modal-particles2000
Grabe-1998-comparative_intonational_phonology_english	Grabe, Esther		Comparative intonational phonology: English and German		1998	grabe_intonational-german1998
Grestenberger-2015-number_marking_in_german	Grestenberger, Laura		Number marking in German measure phrases and the structure of pseudo-partitives		2015	grestenberger_measure-partitives2015
Grewendorf-1993-german_a_grammatical_sketch	Grewendorf, Günther		German: A Grammatical Sketch		1993	grewendorf_german-sketch1993
Grewendorf-1995-german_a_grammatical_sketch	Grewendorf, Günther		German: A Grammatical Sketch		1995	grewendorf_german-sketch1995
Grice-2005-german_intonation_in_autosegmentalmetrical	Grice, Martine and Baumann, Stefan and Benzmüller, Ralf	Grice, Martine and Baumann, Stefan and Benzmüller, Ralf // Grice, Martine and Baumann, Stefan and Benzmülller, Ralf	German intonation in autosegmental-metrical phonology	German intonation in Autosegmental-Metrical phonology // German intonation in autosegmental-metrical phonology	2005	baumann-benzmuller-grice_autosegmental-metrical2005 baumann-benzmulller-grice_autosegmental-metrical2005
Grijzenhout-1998-the_role_of_coronal	Grijzenhout, Janet		The role of coronal specification in German and Dutch phonology and morphology		1998	grijzenhout_coronal-specification1998
Grimm-1822-deutsche_grammatik_german_grammar	Grimm, Jacob		Deutsche Grammatik [German grammar]		1822	grimm_deutsche-grammatik1822
Grimm-1999-deutsches_worterbuch_von_jacob	Grimm, Jacob and Grimm, Wilhelm		Deutsches Wörterbuch von Jacob Grimm und Wilhelm Grimm		1999	grimm-grimm_jacob-grimm1999
Grimm-2006-intonational_patterns_and_word	Grimm, Angela		Intonational patterns and word structure in early child german		2006	grimm_intonational-child2006
Grosz-2005-dn_in_viennese_german	Grosz, Patrick		“Dn” in Viennese German. The syntax of a clitic version of the discourse particle “denn”		2005	grosz_dn-viennese2005
Grote-2000-a_german_prepositional_phrase	Grote, Brigitte		A German prepositional phrase grammar		2000	grote_prepositional-phrase2000
Grove-2016-article_selection_and_anaphora	Grove, Julian and Hanink, Emily		Article selection and anaphora in the German relative clause		2016	grove-hanink_article-anaphora2016
Gut-2001-crosslinguistic_structures_in_the	Gut, Ulrike		Cross-Linguistic Structures in the Acquisition of Intonational Phonology by German-English Bilingual Children		2001	gut_structures-intonational2001
Gut-2008-phonology_of_advanced_learners	Gut, Ulrike		Phonology of advanced learners of German		2008	gut_advanced-learners2008
Gut-2009-nonnative_speech_a_corpusbased	Gut, Ulrike		Non-Native Speech: A Corpus-Based Analysis of Phonological and Phonetic Properties of L2 English and German		2009	gut_phonetic-properties2009
Gut-2010-88_nonnative_speech_a	Gut, Ulrike		88. Non-native speech. A corpus-based analysis of phonological and phonetic properties of L2 English and German.		2010	gut_phonetic-properties2010
Gutzmann-2012-expressive_intensifiers_in_german	Gutzmann, Daniel and Piñíon, Christopher		Expressive intensifiers in German: syntax-semantics mismatches		2012	gutzmann-pinion_intensifiers-mismatches2012
Gärtner-2000-what_do_reduced_pronominals	Gärtner, Hans-Martin and Steinbach, Markus and Gärtner, Hans-Martin		What do reduced pronominals reveal about the syntax of Dutch and German?		2000	gartner-gartner-steinbach_reduced-pronominals2000
Günthner-2000-from_concessive_connector_to	Günthner, Susanne and Brinton, Heidi C. and Gotti, Maurizio A.		From concessive connector to discourse marker: The use of obwohl in everyday German interaction		2000	brinton-gotti-gunthner_connector-obwohl2000
Günthner-2003-lexicalgrammatical_variation_and_development	Günthner, Susanne		Lexical-grammatical variation and development: The use of conjunctions as discourse markers in everyday spoken German		2003	gunthner_conjunctions-everyday2003
Habermann-2007-aspects_of_a_diachronic	Habermann, Mechthild		Aspects of a diachronic valency syntax of German		2007	habermann_diachronic-valency2007
Hachem-2015-multifunctionality_the_internal_and	Hachem, Mirjam		Multifunctionality. The Internal and External Syntax of d- and w-Items in German and Dutch		2015	hachem_multifunctionality-items2015
Haider-1993-deutsche_syntax__generativ	Haider, Hubert		Deutsche Syntax – generativ: Vorstudien zur Theorie einer projektiven Grammatik [German syntax – generative: Preliminary studies on the theory of a projective grammar]		1993	haider_generativ-projektiven1993
Haider-1997-projective_economy_on_the	Haider, Hubert		Projective Economy: On the Minimal Functional Structure of the German Clause		1997	haider_projective-minimal1997
Haider-2010-the_syntax_of_german	Haider, Hubert		The syntax of German		2010	haider_syntax-german2010
Hale-1966-review_of_syntax_des	Hale, Austin		Review of: Syntax des deutschen Adjektivs, by Wolfgang Motsch		1966	hale_adjektivs-motsch1966
Hall-1989-lexical_phonology_and_the	Hall, Tracy Alan		Lexical phonology and the distribution of German [ç] and [x]		1989	hall_distribution-german1989
Hall-1992-syllable_structure_and_syllablerelated	Hall, Tracy Alan		Syllable Structure and Syllable-Related Processes in German		1992	hall_syllable-related1992
Hall-1993-the_phonology_of_german	Hall, Tracy Alan		The phonology of German /ʀ/		1993	hall_phonology-german1993
Hall-1998-a_note_on_secondary	Hall, T. A.		A Note on Secondary Stress in German Prosodic Morphology		1998	hall_secondary-stress1998
Hall-1999-phonotactics_and_the_prosodic	Hall, Tracy Alan and Hall, Tracy Alan and Kleinhenz, Ursula	Hall, T. Alan // Hall, Tracy Alan and Hall, Tracy Alan and Kleinhenz, Ursula	Phonotactics and the prosodic structure of German function words	Phonotactics and the Prosodic Structure of German Function Words // Phonotactics and the prosodic structure of German function words	1999	hall-hall-kleinhenz_phonotactics-function1999 hall_phonotactics-function1999
Hall-1999-the_phonological_word_a	Hall, T. A.		The phonological word: a review		1999	hall_phonological-review1999
Hall-2002-loanword_nativization_in_modern	Hall, T. A. and Hamann, S.		Loanword nativization in Modern Standard German as evidence for the phonological word		2002	hall-hamann_loanword-nativization2002
Hall-2003-modern_german_pronunciation_an	Hall, Christopher		Modern German pronunciation: An introduction for speakers of English		2003	hall_pronunciation-speakers2003
Hall-2014-the_phonology_of_westphalian	Hall, Tracy Alan		The phonology of Westphalian German glides		2014	hall_westphalian-glides2014
Hall-2022-velar_fronting_in_german	Hall, Tracy Alan		Velar fronting in German dialects: A study in synchronic and diachronic phonology		2022	hall_velar-fronting2022
Hamm-2009-donhauser_karin__annette	Hamm, Joachim		Donhauser, Karin \& Annette Fischer \& Lars Mecklenburg. 2006. Moutons Interaktive Einführung in die Historische Linguistik des Deutschen. The Mouton Interactive Introduction to Historical Linguistics of German. Berlin, New York: Mouton de Gruyter		2009	hamm_donhauser-moutons2009
Hammond-1981-a_german_reference_grammar	Hammond, Robin		A German Reference Grammar		1981	hammond_german-reference1981
Hanink-2018-postsyntactic_inflection_of_the	Hanink, Emily		Postsyntactic inflection of the degree phrase in German		2018	hanink_postsyntactic-degree2018
Happ-2014-deutsche_gebardensprache_ein_lehr	Happ, Daniela and Vorköper, Marc-Oliver		Deutsche Gebärdensprache: ein Lehr- und Arbeitsbuch [German Sign Language: a text- and workbook]		2014	happ-vorkoper_lehr-arbeitsbuch2014
Harbert-1977-clause_union_and_german	Harbert, Wayne		Clause union and German accusative plus infinitive constructions		1977	harbert_accusative-plus1977
Harren-2007-11_arbeitstagung_zur_gesprachsforschung	Harren, Inga		11. Arbeitstagung zur Gesprächsforschung am Institut für Deutsche Sprache in Mannheim, 6.-8. April 2005 / 11th workshop on conversation and discourse analysis at the German Language Institute in Mannheim, 6–8 April 2005		2007	harren_gesprachsforschung-mannheim2007
Hartmann-2006-comparative_studies_in_germanic	Hartmann, Jutta M. and Molnárfi, László		Comparative Studies in Germanic Syntax. From Afrikaans to Zurich German		2006	hartmann-molnarfi_germanic-zurich2006
Hartmann-2018-derivational_morphology_in_flux	Stefan Hartmann		Derivational morphology in flux: a case study of word-formation change in German		2018	hartmann_derivational-flux2018
Haselbach-2011-deconstructing_the_meaning_of	Haselbach, Boris		Deconstructing the Meaning of the German Temporal Verb Particle "nach" at the Syntax-Semantics Interface		2011	haselbach_deconstructing-particle2011
Hasse-2019-the_interaction_of_phonological	Hasse, Anja		The interaction of phonological and morphological variation in Zurich German		2019	hasse_morphological-zurich2019
Hawkins-1995-argumentpredicate_structure_in_grammar	Hawkins, John A.		Argument-predicate structure in grammar and performance: A comparison of English and German		1995	hawkins_predicate-performance1995
Heid-2008-providing_corpus_data_for	Heid, Ulrich and Fritzinger, Fabienne and Hauptmann, Susanne and Weidenkaff, Julia and Weller, Marion		Providing corpus data for a dictionary for German juridical phraseology		2008	fritzinger-hauptmann-heid-weidenkaff-weller_providing-juridical2008
Heide-2010-the_influence_of_morphological	Heide, Judith and Lorenz, Antje and Meinunger, André and Burchert, Frank		The influence of morphological structure on the processing of German prefixed verbs		2010	burchert-heide-lorenz-meinunger_influence-prefixed2010
Heinz-1994-argument_structure_and_case	Heinz, Wolfgang and Matiasek, Johannes		Argument Structure and Case Assignment in German		1994	heinz-matiasek_argument-assignment1994
Hempl-1898-german_orthography_and_phonology	Hempl, George		German Orthography and Phonology		1898	hempl_german-orthography1898
Hendriks-2005-structuring_space_in_discourse	Hendriks, Henriëtte		Structuring space in discourse: A comparison of Chinese, English, French and German LI and English, French and German L2 acquisition		2005	hendriks_structuring-li2005
Hickey-2000-on_the_phonology_of	Hickey, Raymond		On the phonology of gender in Modern German		2000	hickey_gender-modern2000
Hinrichs-1989-subcategorization_and_vp_structure	Hinrichs, Erhard W. and Nakazawa, Tsuneko		Subcategorization and VP Structure in German		1989	hinrichs-nakazawa_subcategorization-vp1989
Hinterhölzl-2018-implications_of_displaced_affixes	Hinterhölzl, Roland		Implications of displaced affixes for the analysis of non-finite morphology and the headedness of the VP in German		2018	hinterholzl_displaced-headedness2018
Hoeing-1997-the_phrase_structure_of	Hoeing, Robert G.		The phrase structure of partitives in High German		1997	hoeing_partitives-high1997
Hohaus-2021-comparisons_of_equality_with	Hohaus, Vera and Zimmermann, Malte		Comparisons of equality with German so…wie, and the relationship between degrees and properties		2021	hohaus-zimmermann_equality-degrees2021
Hohenstein-2005-interactional_expectations_and_lingusitic	Hohenstein, Christiane		Interactional expectations and lingusitic knowledge in academic expert discourse (Japanese / German)		2005	hohenstein_lingusitic-expert2005
Hoole-2002-articulatory_analysis_of_the	Hoole, Philip and Mooshammer, Christine		Articulatory analysis of the German vowel system		2002	hoole-mooshammer_articulatory-vowel2002
Hopp-2011-internal_and_external_factors	Hopp, Holger		Internal and external factors in the child L2 development of the German determiner phrase		2011	hopp_external-determiner2011
House-1996-contrastive_discourse_analysis_and	House, Juliane		Contrastive discourse analysis and misunderstanding: The case of German and English		1996	house_contrastive-misunderstanding1996
House-2011-linking_constructions_in_english	House, Juliane		Linking constructions in English and German translated and original texts		2011	house_linking-original2011
Hüning-2010-adjective__noun_constructions	Hüning, Matthias		Adjective + Noun constructions between syntax and word formation in Dutch and German		2010	huning_adjective-formation2010
Ickelsamer-1535-teutsche_grammatica	Ickelsamer, Valentin		Teutsche Grammatica		1535	ickelsamer_teutsche-grammatica1535
Iverson-1992-the_place_of_structure	Iverson, Gregory K. and Salmons, Joseph C.		The place of structure preservation in German diminutive formation		1992	iverson-salmons_preservation-diminutive1992
Jacobs-1986-the_syntax_of_focus	Jacobs, Joachim		The Syntax of Focus and Adverbials in German		1986	jacobs_focus-adverbials1986
Jacobs-2018-on_main_clause_phenomena	Jacobs, Joachim and Steinbach, Markus and Grewendorf, Arnim and von Stechow, Güntherad		On main clause phenomena in German		2018	grewendorf-jacobs-stechow-steinbach_main-phenomena2018
Jambressisch-1742-lexicon_latinum_lexicon_latinum	Andrea Jambressisch		Lexicon Latinum: Lexicon Latinum interpretatione Illyrica, Germanica, et Hungarica locuples		1742	jambressisch_illyrica-locuples1742 jambressisch_illyrica-locuples1742 jambressisch_illyrica-locuples1742
Jarnatovskaja-1984-zu_stilistischen_moglichkeiten_der	Jarnatovskaja, Valebia E.		Zu stilistischen Möglichkeiten der Morphologie in der deutschen Gegenwartssprache		1984	jarnatovskaja_stilistischen-moglichkeiten1984
Jessen-1995-acoustic_correlates_of_word	Jessen, Michael and Marasek, Krzysztof and Schneider, Katrin and Clahßen, Kathrin		Acoustic Correlates of Word Stress and the Tense/Lax Opposition in the Vowel System of German		1995	clahssen-jessen-marasek-schneider_lax-opposition1995
Jessen-1998-phonetics_and_phonology_of	Jessen, Michael		Phonetics and Phonology of Tense and Lax Obstruents in German		1998	jessen_lax-obstruents1998
Jessen-1999-phonetics_and_phonology_of	Jessen, Michael		Phonetics and Phonology of Tense and Lax Obstruents in German		1999	jessen_lax-obstruents1999
Jobin-2011-semantically_driven_change_in	Jobin, Bettina		Semantically driven change in German(ic) gender morphology		2011	jobin_semantically-ic2011
Johnson-1986-a_gpsg_account_of	Johnson, Mark		A GPSG account of VP structure in German		1986	johnson_gpsg-vp1986
Jones-1976-a_lexicon_of_french	Jones, William Jervis		A Lexicon of French Borrowings in the German Vocabulary (1575-1648)		1976	jones_lexicon-borrowings1976
Jones-2000-german_lexicography_in_the	Jones, William Jervis		German Lexicography in the European Context. A descriptive bibliography of printed dictionaries and word lists containing German language (1600-1700)		2000	jones_printed-containing2000
Jones-2005-a_frequency_dictionary_of	Jones, Randall L. and Tschirner, Erwin P.		A frequency dictionary of German		2005	jones-tschirner_frequency-german2005
Jones-2006-a_frequency_dictionary_of	Jones, Randall L. and Tschirner, Erwin		A Frequency Dictionary of German		2006	jones-tschirner_frequency-german2006
Joswig-2005-review_of_the_phonology	Joswig, Andreas		Review of: The phonology of German		2005	joswig_review-german2005
Junker-1965-persischdeutsches_worterbuch	Junker, Heinrich F. J. and Bozorg, Alavi		Persisch-deutsches Wörterbuch		1965	bozorg-junker_persisch-deutsches1965 bozorg-junker_persisch-deutsches1965 bozorg-junker_persisch-deutsches1965
Junker-1966-persischdeutsches_worterbuch	Junker, Heinrich F. J. and Bozorg, Alavi		Persisch-deutsches Wörterbuch		1966	bozorg-junker_persisch-deutsches1966 bozorg-junker_persisch-deutsches1966 bozorg-junker_persisch-deutsches1966
Junker-2002-persischdeutsch_worterbuch	Junker, Heinrich F. J. and Alavi, Bozorg		Persisch-Deutsch Wörterbuch		2002	alavi-junker_persisch-worterbuch2002
Jurish-2008-finding_canonical_forms_for	Jurish, Bryan		Finding canonical forms for historical German text		2008	jurish_finding-canonical2008
Kabak-2006-the_phonology_and_morphology	Kabak, Barış and Schiering, René		The phonology and morphology of function word contractions in German		2006	kabak-schiering_function-contractions2006
Kabatnik-2022-relationship_management_by_means	Kabatnik, Susanne and Nikendei, Christoph and Ehrenthal, Johannes C. and Spranz-Fogasy, Thomas		Relationship management by means of solution-oriented questions in German psychodiagnostic interviews		2022	ehrenthal-kabatnik-nikendei-spranz-fogasy_solution-psychodiagnostic2022
Kameyama-2004-modal_expressions_in_japanese	Kameyama, Shinichi		Modal expressions in Japanese and German planning discourse		2004	kameyama_modal-planning2004
Karagjosova-2004-the_meaning_and_function	Karagjosova, Elena		The meaning and function of German discourse particles		2004	karagjosova_function-particles2004
Kasper-2015-3_linking_syntax_and	Kasper, Simon		3. Linking syntax and semantics of adnominal possession in the history of German		2015	kasper_linking-adnominal2015
Kastovsky-1994-typological_differences_between_english	Kastovsky, Dieter		Typological differences between English and German morphology and their causes		1994	kastovsky_differences-causes1994
Kathol-1995-linearizationbased_german_syntax	Kathol, Andreas		Linearization-Based German Syntax		1995	kathol_linearization-based1995
Kathol-1999-linearization_vs_phrase_structure	Kathol, Andreas		Linearization vs. phrase structure in German coordination constructions		1999	kathol_linearization-coordination1999
Kathol-2001-positional_effects_in_a	Kathol, Andreas		Positional Effects in a Monostratal Grammar of German		2001	kathol_positional-monostratal2001
Kaufmann-2005-the_auin_translated_from	Kaufmann, Hans L.		The Auin [translated from German]		2005	kaufmann_auin-translated2005
Kauschke-2007-characteristics_of_maternal_input	Kauschke, Christina and Klann-Delius, Gisela		Characteristics of maternal input in relation to vocabulary development in children learning German		2007	kauschke-klann-delius_maternal-input2007
Kempen-2003-6_dutch_and_german	Kempen, Gerard and Harbusch, Karin		6. Dutch and German verb constructions in Performance Grammar		2003	harbusch-kempen_dutch-performance2003
Kienpointner-2005-semantic_roles_within_a	Kienpointner, Manfred		Semantic Roles within a Contrastive Grammar of Latin and German		2005	kienpointner_roles-within2005
Kirkness-2006-die_grimmschen_handexemplare_des	Kirkness, Alan		Die Grimmschen Handexemplare des Deutschen Wörterbuchs A – F / The Grimm author's copies of the German Dictionary A – F		2006	kirkness_grimmschen-handexemplare2006
Kirsten-1991-adolf_lamprechts_german_grammar	Kirsten, Hans		Adolf Lamprecht's (German) Grammar of English		1991	kirsten_adolf-lamprechts1991
Klaper-2013-building_a_germansimple_german	Klaper, David and Ebling, Sarah and Volk, Martin		Building a German/simple German parallel corpus for automatic text simplification		2013	ebling-klaper-volk_automatic-simplification2013
Klein-2002-the_argumenttime_structure_of	Klein, Wolfgang		The argument-time structure of recipient constructions in German		2002	klein_argument-recipient2002
Knop-2017-chapter_7_the_family	Knop, Sabine and Mollica, Fabio		Chapter 7. The family of German dative constructions		2017	knop-mollica_family-dative2017
Kohler-1991-terminal_intonation_patterns_in	Kohler, Klaus J.		Terminal Intonation Patterns in Single-Accent Utterances of German: Phonetics, Phonology, and Semantics		1991	kohler_terminal-single1991
Kohler-1995-einfuhrung_in_die_phonetik	Kohler, Klaus J.		Einführung in die Phonetik des Deutschen. 2., neubearbeitete Auflage		1995	kohler_neubearbeitete-auflage1995
Konerding-2004-wolfgang_j_koschnick_management	Konerding, Klaus-Peter		Wolfgang J. Koschnick: Management and Marketing/Management und Marketing. Encyclopedic Dictionary English–German/Enzyklopädisches Wörterbuch Englisch–Deutsch. Berlin, New York: Walter de Gruyter. 1998. 859 S.		2004	konerding_koschnick-enzyklopadisches2004
Konerding-2005-handbuch_der_deutschen_konnektoren	Konerding, Klaus-Peter		Handbuch der deutschen Konnektoren [Manual of the German connectors]		2005	konerding_konnektoren-connectors2005
Konrad-2013-the_lexical_structure_of	Konrad, Reiner		The lexical structure of German Sign Language (DGS) in the light of empirical LSP lexicography		2013	konrad_dgs-lsp2013
Kosta-2006-on_free_word_order	Kosta, Peter		On Free Word Order Phenomena in Czech as Compared to German: Is Clause Internal Scrambling Α-Movement, A-Bar-Movement or Is It Base Generated?		2006	kosta_bar-generated2006
Kraehenmann-2003-swiss_german_vowel_length	Kraehenmann, Astrid		Swiss German vowel length through time		2003	kraehenmann_swiss-length2003
Kraiss-2012-determiner_phrase_and_definiteness	Kraiss, Andrew M.		Determiner Phrase and Definiteness in Old High German		2012	kraiss_determiner-definiteness2012
Kramer-2011-klappenbachsteinitz_worterbuch_der_deutschen	Kramer, Undine		Klappenbach/Steinitz: Wörterbuch der deutschen Gegenwartssprache (WDG)		2011	kramer_klappenbach-wdg2011
Krause-1999-two_notes_on_prenominal	Krause, Cornelia		Two notes on prenominal possessors in German		1999	krause_prenominal-possessors1999
Krenn-2008-description_of_evaluation_resource	Krenn, Brigitte		Description of Evaluation Resource – German PP-verb data		2008	krenn_evaluation-resource2008
Kresić-2017-chapter_8_a_format	Kresić, Marijana and Angster, Mia Batinić and Diewald, Gabriele		Chapter 8. A format for the description of German modal particles and their functional equivalents in Croatian and English		2017	angster-diewald-kresic_format-equivalents2017
Kunz-2013-towards_a_comparison_of	Kunz, Kerstin and Steiner, Erich		Towards a comparison of cohesive reference in English and German: System and text		2013	kunz-steiner_comparison-cohesive2013
Kutscher-2007-nonverbale_pradikation_in_der	Kutscher, Silvia and Geist, Ljudmila and Rothstein, Björn		Non-verbale Prädikation in der Deutschen Gebärdensprache (DGS): Probleme der Abgrenzung von Attribution und Prädikation in einer kopulalosen Sprache [Non-verbal predication in German Sign Language: problems in differentiating between attribution and predication in a language without copulas]		2007	geist-kutscher-rothstein_pradikation-kopulalosen2007
Kuzla-2010-compensation_for_assimilatory_devoicing	Kuzla, Claudia and Ernestus, Mirjam and Mitterer, Holger		Compensation for assimilatory devoicing and prosodic structure in German fricative perception		2010	ernestus-kuzla-mitterer_compensation-assimilatory2010
Kučera-1968-a_comparative_quantitative_phonology	Kučera, Henry and Monroe, George K.		A Comparative Quantitative Phonology of Russian, Czech, and German		1968	kucera-monroe_quantitative-czech1968
König-1988-clause_integration_in_german	König, Ekkehard and Auwera, Johan		Clause integration in German and Dutch conditionals, concessive conditionals, and concessives		1988	auwera-konig_concessive-concessives1988
König-1990-adverbien_und_partikeln_ein	König, Ekkehard and Stark, Detlef and Requardt, Susanne		Adverbien und Partikeln: Ein deutschenglisches Wörterbuch [Adverbs and Particles: A German–English Dictionary]		1990	konig-requardt-stark_adverbien-deutschenglisches1990
Kügler-2009-sentence_length_position_and	Kügler, Frank and Genzel, Susanne		Sentence length, position, and information structure on segmental duration in German		2009	genzel-kugler_length-duration2009
Lambek-2000-type_grammar_meets_german	Lambek, J.		Type Grammar Meets German Word Order		2000	lambek_type-meets2000
Langer-1998-werner_abraham__elly	Langer, Nils		Werner Abraham / Elly van Gelderen (Hgg.): German: Syntactic Problems - Problematic Syntax		1998	langer_elly-gelderen1998
Lapshinova-Koltunski-2010-german_clauseembedding_predicates	Lapshinova-Koltunski, Ekaterina		German Clause-Embedding Predicates		2010	lapshinova-koltunski_embedding-predicates2010
Lederer-1969-reference_grammar_of_the	Lederer, Herbert		Reference grammar of the German language [Grammatik der deutschen Sprache <eng.>]	Reference Grammar of the German Language // Reference grammar of the German language [Grammatik der deutschen Sprache <eng.>]	1969	lederer_grammatik-deutschen1969 lederer_reference-german1969
Lee-Schoenfeld-2007-beyond_coherence_the_syntax	Lee-Schoenfeld, Vera		Beyond Coherence. The syntax of opacity in German		2007	lee-schoenfeld_coherence-opacity2007
Lee-Schoenfeld-2016-the_syntax_of_external	Lee-Schoenfeld, Vera and Diewald, Gabriele		The syntax of external and internal possessor variation in German inalienable possession		2016	diewald-lee-schoenfeld_possessor-inalienable2016
Legère-1973-contrastive_sketch_of_postnominal	Legère, Karsten		[Contrastive sketch of post-nominal constructions in Kiswahili and parts of speech in German]		1973	legere_post-parts1973
Lehn-1957-rosental_low_german_synchronic	Lehn, Walter Isaak		Rosental Low German synchronic and diachronic phonology		1957	lehn_rosental-low1957
Lehn-1957-rosenthal_low_german_synchronic	Lehn, Walter Isaak		Rosenthal Low German: Synchronic and diachronic phonology		1957	lehn_rosenthal-low1957
Lehr-2004-zeitgeschichtliches_worterbuch_der_deutschen	Lehr, Andrea		Zeitgeschichtliches Wörterbuch der deutschen Gegenwartssprache [Contemporary-historical lexicon of present-day German]		2004	lehr_zeitgeschichtliches-gegenwartssprache2004
Lettner-2013-uwe_quasthoff_sabine_fiedler	Lettner, Khrystyna and Schierholz, Stefan J.		Uwe Quasthoff, Sabine Fiedler, Erla Hallsteinsdóttir (eds., 2011): Frequency Dictionary German. Häufigkeitswörterbuch Deutsch		2013	lettner-schierholz_quasthoff-hallsteinsdottir2013
Lindauer-2002-how_syllable_structure_affects	Lindauer, Thomas		How Syllable Structure affects Spelling: A Case Study in Swiss German Syllabification		2002	lindauer_affects-swiss2002
Lindtner-2008-aufgabe__desiderate_	Lindtner, Heide and Barth-Weingarten, Dagmar		Aufgabe – Desiderate – Perspektiven. Bericht über die 13. Arbeitstagung zur Gesprächsforschung vom 28. bis 30. März 2007 am Institut für Deutsche Sprache in Mannheim		2008	barth-weingarten-lindtner_desiderate-gesprachsforschung2008
