ID	Creators	Creator_Variants	Title	Title_Variants	Year	Sources
Bano-2008-a_descriptive_study	Atiqua Bano		A descriptive study of Phom language		2008	bano_descriptive-phom2008
Bano-2017-the_phom_language	Atiqua Bano		The Phom Language of Nagaland		2017	bano_phom-nagaland2017
Burling-1998-phom_phonology_and	Robbins Burling and L. Amon Phom	Burling, R. and Phom, L.A. // Robbins Burling and L. Amon Phom	Phom Phonology and Word List	Phom Phonology and Word List // Phom phonology and wordlist	1998	burling-phom_phom-list1998 burling-phom_phom-wordlist1998
French-1983-northern_naga_a	French, Walter Thomas		Northern Naga: A Tibeto-Burman Mesolanguage		1983	french_naga-mesolanguage1983 french_naga-mesolanguage1983 french_naga-mesolanguage1983 french_naga-mesolanguage1983 french_naga-mesolanguage1983 french_naga-mesolanguage1983
Grierson-1903-tibetoburman_family_specimens	George A. Grierson		Tibeto-Burman Family: Specimens of the Bodo, Nāgā, and Kachin Groups		1903	grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903 grierson_bodo-kachin1903
Kumar-1973-hindi_phom_english	Kumar, Braj Bihari and Podhok Phom and Anandi Prasad Mandal		Hindi Phom English dictionary		1973	kumar-mandal-phom_hindi-phom1973
Kumar-1973-hindiphomenglish_dictionary	Kumar, Braj Bihari and Phom, L. Ponghok and Mamdal, Ananda Prasad		Hindi–Phom–English dictionary		1973	kumar-mamdal-phom_hindi-phom1973
Marrison-1967-the_classification_of	Marrison, Geoffrey E.		The classification of the Naga languages of North East India		1967	marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967 marrison_naga-india1967
Singh-2012-phonological_system_in	Singh, Shailendra Kumar and Bano, Atiqua		Phonological system in Phom language		2012	bano-singh_phonological-phom2012
